Dataset,Seed,Scaler,Model,Train R2,Val R2,Test R2,Test MSE,Test MAE,Test R2 DCAA (ug/L),Test R2 TCAA (ug/L),Test R2 BCAA (ug/L),Test R2 HAA5 (ug/L),Test R2 HAA9 (ug/L),Params,Test R2 DCAA,Test R2 TCAA,Test R2 HAA5,Test R2 TTHM
original,9999,robust,SVR,0.7096656415340957,0.002481373513372298,0.3916809154046005,1.2322459753294714,0.629218791159397,0.5068987200475863,0.4752796874648795,-0.08223876551486775,0.5331079018480981,0.5253570331773061,,,,,
original,9999,minmax,Explainable Model,-0.05758645848528554,-0.16230810305570542,0.04833429477101527,0.1197689348651914,0.22715754912093447,0.15159276584955184,0.18557483282058584,-0.23207151200343756,0.06976352778450379,0.06681185940387269,177466.0,,,,
original,9999,minmax,SVR,0.7242337134121715,0.2593772046261156,0.469907476343303,0.08921157233124326,0.16807749893668397,0.6027056258666545,0.5690703767494262,-0.10874295987377347,0.6377435579865596,0.6487607809876487,,,,,
ontario,42,zscore,Explainable Model,0.8869711820346718,0.5253698691916611,0.6878272375925243,0.2670143137992996,0.3588674631600237,,,,,,134985.0,0.7076359769890144,0.6600214102714944,0.7350278234759501,0.6486237396336382
ontario,42,zscore,SVR,0.7803878825779093,0.5424825210994049,0.6858525682760719,0.2703870481721883,0.34379345631360336,,,,,,,0.6689250653591142,0.6805517958511915,0.7428758175234845,0.651057594370497
ontario,42,robust,Explainable Model,0.8837497652148112,0.5227004675710252,0.7090344195743328,0.15775966321162432,0.26999373053266357,,,,,,134985.0,0.7129240629157896,0.6981287176269456,0.7469640748622018,0.6781208228923942
ontario,42,robust,SVR,0.7962573781086306,0.30274335030326144,0.6947040712854542,0.16269118696043586,0.28385504597024624,,,,,,,0.7210086380116125,0.6525481321882082,0.7502061107554554,0.6550534041865406
ontario,42,minmax,Explainable Model,0.6918887190978835,0.27935569561691553,0.6663422563159463,0.018773852389465835,0.09635912042455627,,,,,,134985.0,0.6906730270897519,0.625537200276665,0.7158435235387546,0.6333152743586136
ontario,42,minmax,SVR,0.8058444801283715,0.40601965259305,0.667073713959947,0.018639181996330786,0.0944217408999029,,,,,,,0.720287333260303,0.6126668467898438,0.715510445332139,0.6198302304575012
ontario,123,zscore,Explainable Model,0.838697667306715,0.2953937149200404,0.7140241631668336,0.22410312356692802,0.33585760456721436,,,,,,134985.0,0.7156651257021653,0.6737088556657236,0.8001260996087081,0.6665965716907374
ontario,123,zscore,SVR,0.7553501097612801,0.36576966969371083,0.6769564381087165,0.2566364129082609,0.3506581119613996,,,,,,,0.6666363166620537,0.6918466860039543,0.7378377514567622,0.6115049983120961
ontario,123,robust,Explainable Model,0.8189030223123106,0.23439977857365304,0.7226806733786464,0.1283128687586817,0.2510382110589044,,,,,,134985.0,0.6887024584342119,0.7009545095925539,0.8051797347032228,0.6958859907845971
ontario,123,robust,SVR,0.7481961369191422,0.2460359820330501,0.7268763686233477,0.12467994182647918,0.24316747702451985,,,,,,,0.708815734387861,0.7284724145705128,0.8041127396726453,0.666104585862372
ontario,123,minmax,Explainable Model,0.5036053689563045,0.19137781826934178,0.5767660459105335,0.026244526671913827,0.11887646259034394,,,,,,134985.0,0.4644984259287752,0.5821053825726092,0.5998616369173513,0.6605987382233979
