Protocol,Fold,Model,Train R2,Val R2,Test R2,Test MSE,Test MAE,Test R2 DCAA,Test R2 TCAA,Test R2 HAA5,Test R2 TTHM,Params
random,9999,Support Vector Regression,0.8271255687876706,0.5322911404317531,0.492726394875717,0.5401312407166492,0.5223944556555165,0.5178580653952757,0.4382982407763767,0.5258825035578878,0.4888667697733279,
random,9999,XGBoost,0.9980191259420255,0.4425943508040424,0.3453035704629073,0.6891979980852824,0.5566973642797752,0.29826463740884746,0.17172922252725886,0.4213075002886164,0.4899129216269066,
random,9999,TabNet,0.8025498170741658,0.5291392773401806,0.42447178483200004,0.612279722885992,0.538901486773286,0.48061757163473784,0.31165882809784984,0.43683675503338837,0.46877398456202435,6126.0
random,9999,Multi-task MLP,0.5805533284237385,0.21445268590950115,0.40003642043138943,0.6410589582596011,0.6151477184566615,0.45743246787083613,0.36229572651606756,0.42197725258816,0.35844023475049425,4932.0
random,9999,Explainable Model,0.5923546611985624,0.3185615686684087,0.47483669164925946,0.5591628039815038,0.5530974031900202,0.48817872426985365,0.4386616867893244,0.5167673084754549,0.45573904706240453,134985.0
group_kfold,0,Random Forest,0.9574583319143408,0.3142247157399152,0.6431213245668055,0.49223476245087133,0.49864522124425814,0.6842265795991824,0.5558584115372196,0.6591242146292243,0.6732760925015959,
group_kfold,0,Support Vector Regression,0.9159801480545263,0.32550252414857417,0.5661552059653603,0.5865608005770223,0.5240827036120441,0.5025836467259215,0.50405879175157,0.5689525160848614,0.6890258692990883,
group_kfold,0,XGBoost,0.9993956382453097,0.28885613602042015,0.6072558144524407,0.537723998606683,0.5099656885977311,0.6266094969622776,0.5307864672070461,0.5853654374466356,0.6862618561938034,
group_kfold,0,TabNet,0.7534287221718523,0.41888505199164294,0.5715477119096992,0.585340133628931,0.5724926215985945,0.5882144504770225,0.5188870337044755,0.5923807286535423,0.5867086348037573,6126.0
group_kfold,0,Multi-task MLP,0.6320059274416673,0.3463394697306669,0.5905381339704389,0.5683593666007616,0.579756454366397,0.6457263494449554,0.45492411259894405,0.6520094491400589,0.6094926246977974,4932.0
group_kfold,0,Explainable Model,0.7627274732671538,0.32502021185142993,0.6668516688208693,0.46356451572965507,0.5328169790291456,0.74723033903792,0.5681826950954576,0.6694154732364263,0.6825781679136738,134985.0
