Dataset,Experiment,Arm,Seed,Train R2,Val R2,Test R2,Test MSE,Test MAE,Test R2 DCAA (ug/L),Test R2 TCAA (ug/L),Test R2 BCAA (ug/L),Test R2 HAA5 (ug/L),Test R2 HAA9 (ug/L),Params,Test R2 DCAA,Test R2 TCAA,Test R2 HAA5,Test R2 TTHM
original,feature,remove_pH,3407,0.7018648145907564,0.41415440501923956,0.18219618915607302,1.0920734562056396,0.6763090290631372,0.295057188408153,0.12075888234345633,0.0450358057368474,0.19182465219478384,0.2583044170971248,163882.0,,,,
original,feature,remove_UVA254,3407,0.6947934270404822,0.07109694519357442,-0.26295284827199056,1.393276811199868,0.7557980678109131,-0.06384442436493454,-0.47115494564994376,-0.014161506236056498,-0.4182543911572252,-0.34734897395179254,163914.0,,,,
original,feature,remove_Cl2,3407,0.6760855159638386,0.3922524824366439,0.3425355090989954,0.9835486942642568,0.6426313041266326,0.4983608854881587,0.33004300039411916,0.06504813730298087,0.39415976547008424,0.42506575683963443,150593.0,,,,
original,feature,remove_NO2-N,3407,0.7619718284402912,0.31137236129318957,-0.009678675679625437,1.224803109667342,0.7263607800881673,0.14377263064448043,-0.17968831306333266,0.014665715373921695,-0.06899769459381555,0.041854283240618684,163914.0,,,,
original,feature,remove_DOC,3407,0.5926972168257562,0.24809575053751418,-0.12388344315979297,1.3155801723759144,0.7844626670731196,-0.21841551195188802,-0.1524620225890938,-0.01609350535525933,-0.17110933046524957,-0.061336845437473864,163898.0,,,,
original,feature,remove_NH4-N,3407,0.5699724350161699,0.2646864887655992,0.09032303366788808,1.197213258995646,0.7266033996009458,0.23174631724834382,-0.07050049792378665,-0.03528554015070262,0.09962519512802337,0.22602969403756235,163914.0,,,,
original,feature,remove_Br,3407,0.7700709654981285,0.212858925045066,0.12432215007335726,1.0548306879502871,0.6700299363542815,0.12192197408055283,-0.008190118599287421,0.16020073892985198,0.1598216186020911,0.1878565373535781,163881.0,,,,
original,feature,baseline_all_features,5555,0.6322726353862435,0.7059111701847064,0.5001836291291438,0.5514732652803771,0.5792464077635044,0.5297181821075136,0.6246075920452202,0.0891739461124863,0.6266657237312149,0.6307527016492843,177466.0,,,,
original,feature,remove_Temp,5555,0.6442834461417982,0.6865370467345425,0.5010539691624396,0.5484037604396489,0.5496662642240115,0.5780481712126277,0.6001932150718805,0.0584262717075299,0.6208352580465315,0.647766929773629,163914.0,,,,
original,feature,remove_pH,5555,0.6705715194520726,0.6442989213109838,0.4963110610455089,0.551229084501309,0.5622677765393289,0.5956087464850797,0.5799969312731409,0.02530182949168358,0.6404076343056457,0.6402401636719947,163882.0,,,,
original,feature,remove_UVA254,5555,0.5797982888645666,0.48289587278018126,0.5435196088398971,0.49718693402057995,0.5611999070861143,0.6018538478374112,0.6409098178508632,0.11463308557167129,0.6766502719156124,0.6835510210239274,163914.0,,,,
original,feature,remove_Cl2,5555,0.7094955070051873,0.633833103554745,0.5494036354970909,0.4915811398490031,0.5448026398703341,0.6153494207156209,0.6487579540304977,0.12831193324084156,0.670872359398448,0.6837265101000468,150593.0,,,,
