Dataset,Seed,Lambda,Train R2,Val R2,Test R2,Test MSE,Test MAE,Test R2 DCAA (ug/L),Test R2 TCAA (ug/L),Test R2 BCAA (ug/L),Test R2 HAA5 (ug/L),Test R2 HAA9 (ug/L),Params,viol_haa5,viol_haa9,viol_nonneg,Test R2 DCAA,Test R2 TCAA,Test R2 HAA5,Test R2 TTHM
original,9999,0.0,0.9058576141533518,0.2091366525914749,0.44385341756652874,1.39145567752451,0.6582930982074862,0.6114144801005681,0.4655271263441705,0.021407708950597404,0.5629643564686637,0.5579534159686441,177466,0.05000000074505806,0.0,0.0,,,,
original,9999,0.01,0.9053668616224234,0.18909119126885296,0.44663915743695026,1.3894287981686344,0.6571289813294238,0.6121493595684951,0.4719573221429795,0.020664734589912692,0.5665928848595365,0.5618314860238276,177466,0.05000000074505806,0.0,0.0,,,,
original,9999,0.05,0.9058905772073802,0.20064475078278968,0.4500839744587405,1.3833692399329867,0.6553005767895016,0.616160403110866,0.4753758136078726,0.023976035496211412,0.5727167551293865,0.5621908649493659,177466,0.0,0.05000000074505806,0.0,,,,
original,9999,0.1,0.8995370917985218,0.19289172971573176,0.4485796312805602,1.3951436938763992,0.6618476568104411,0.6129299613124506,0.4783070010165088,0.012214065843168642,0.5766347799279601,0.5628123483027132,177466,0.0,0.0,0.0,,,,
original,9999,0.5,0.8266891826763253,0.15621029362157343,0.4051457469708426,1.4870108461248894,0.7016164423084171,0.55455260521622,0.44608686123641517,-0.04712673056927552,0.5199528948447016,0.5522631041261515,177466,0.10000000149011612,0.0,0.0,,,,
original,9999,1.0,0.8855010050676737,0.18378552757932481,0.4645825952191805,1.351656228230676,0.6616450347694289,0.6298959547037347,0.4761492746974848,0.044626543528182294,0.5931225274087909,0.5791186757577094,177466,0.0,0.0,0.0,,,,
ontario,42,0.0,0.8867051183892865,0.5272159114207781,0.6864480908937842,0.2681805346633399,0.36098130899708114,,,,,,134985,0.1320754736661911,,0.11320754885673523,0.7056344716849687,0.6570428828303136,0.7361251230510215,0.6469898860088327
ontario,42,0.01,0.8869954671777234,0.529236414651646,0.6867283079387853,0.2679290795976607,0.36073805149487986,,,,,,134985,0.09433962404727936,,0.09433962404727936,0.7063746932951073,0.6565623266970373,0.7358257277304958,0.6481504840325003
ontario,42,0.05,0.8877702578014022,0.526792520643498,0.6872906258847504,0.2673713824101933,0.3590823618464599,,,,,,134985,0.056603774428367615,,0.07547169923782349,0.7087550850372804,0.6574812040691662,0.7354097463644507,0.6475164680681043
ontario,42,0.1,0.8869711820346718,0.5253698691916611,0.6878272375925243,0.2670143137992996,0.3588674631600237,,,,,,134985,0.01886792480945587,,0.09433962404727936,0.7076359769890144,0.6600214102714944,0.7350278234759501,0.6486237396336382
ontario,42,0.5,0.8849141310228447,0.532118022830925,0.6876028045780614,0.2674033786788968,0.3580136645140012,,,,,,134985,0.0,,0.07547169923782349,0.7064158641603768,0.6689150158633965,0.728129028844184,0.646951309444288
ontario,42,1.0,0.8828281474884474,0.5392174703015474,0.6883494803792888,0.2668289728910646,0.3570633627891957,,,,,,134985,0.0,,0.056603774428367615,0.7075451280880443,0.6719042942307143,0.724887314560499,0.6490611846378969
ontario,123,0.0,0.8361731742196985,0.26109811542526873,0.7238985398872648,0.21565673796122892,0.3292031735342025,,,,,,134985,0.056603774428367615,,0.03773584961891174,0.7291751233952745,0.6805399935870268,0.8103298545759965,0.6755491879907618
ontario,123,0.01,0.8365197501245711,0.26953329637869794,0.7194692297331219,0.2187491316245273,0.3320655972096953,,,,,,134985,0.056603774428367615,,0.03773584961891174,0.7279580754059294,0.674502238817764,0.8060732323692845,0.6693433723395099
ontario,123,0.05,0.8362539402012696,0.26787305845821413,0.7193707547787518,0.21902573994200839,0.33253373316367363,,,,,,134985,0.0,,0.056603774428367615,0.7262757281802072,0.6758494890684343,0.8062394134539261,0.6691183884124392
ontario,123,0.1,0.838697667306715,0.2953937149200404,0.7140241631668336,0.22410312356692802,0.33585760456721436,,,,,,134985,0.0,,0.056603774428367615,0.7156651257021653,0.6737088556657236,0.8001260996087081,0.6665965716907374
ontario,123,0.5,0.4948847315543108,0.22841990343230956,0.537231397792479,0.3576559462342357,0.46373785662198047,,,,,,134985,0.0,,0.0,0.5876876341987538,0.4702474999532269,0.646453228998689,0.44453722801924656
ontario,123,1.0,0.49344695471436806,0.22610692658082795,0.5351076326302354,0.35955007622208346,0.4656192764281434,,,,,,134985,0.0,,0.0,0.5874265756676225,0.4716045570972568,0.6367511646179027,0.4446482331381598
ontario,456,0.0,0.6605914119826475,0.6798084452363553,0.5834657016979463,0.8162888984998405,0.5974087111103066,,,,,,134985,0.056603774428367615,,0.07547169923782349,0.60315894651452,0.5891404942937508,0.5998813065184043,0.54168205946511
